CONTAS REGIONAIS DO BRASIL,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5
Ano de referência 2010,,,,,
Valor Bruto da Produção 2010-2021,,,,,
Região Norte,,,,,
"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,8989.307329690531
2011,8989.307329690531,1.0787470921858335,9697.189142668461,1.1371606773732714,11027.2621740936
2012,11027.2621740936,1.091381009063464,12034.94451876964,1.0694057514321083,12870.23888653858
2013,12870.23888653858,1.023053055846552,13166.937222348419,1.0553335244444193,13895.510264999371
2014,13895.510264999371,1.013859555233206,14088.09585701071,1.1969281367098594,16862.43832392172
2015,16862.43832392172,0.9631217536607722,16240.5811695321,0.9463117516729882,15368.65281472727
2016,15368.65281472727,1.010929806056678,15536.62920934466,1.0340696829168536,16065.95724010376
2017,16065.95724010376,1.030019941756829,16548.25634071938,1.070792820849271,17719.75408721574
2018,17719.75408721574,1.0661214697860584,18891.41027170996,1.0032683520900783,18953.154051956033
2019,18953.154051956033,1.0512686304994003,19924.85630384398,1.071392477379609,21347.34115680812
2020,21347.34115680812,1.0195371255003782,21764.40684008807,0.9952642706668033,21661.336500195837
2021,21661.336500195837,1.0781982557034193,23355.215230715963,1.1257519951978487,26292.18014425368
,,,,,
,,,,,
Consumo intermediário 2010-2021,,,,,
Região Norte,,,,,
"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,2622.4391274008003
2011,2622.4391274008003,1.0716747230419708,2810.40172555168,1.1774899129786693,3309.2196832549503
2012,3309.2196832549503,1.1090529664089173,3670.09990621268,1.1055446397921145,4057.45927881497
2013,4057.45927881497,1.0181023489339596,4130.908822465411,0.9534725116352675,3938.7080102923796
2014,3938.7080102923796,1.0210166360319675,4021.4864029808896,1.2082430323011637,4858.9329258955295
2015,4858.9329258955295,0.9748685542494552,4736.82091666285,0.919073928113828,4353.48860664907
2016,4353.48860664907,1.0166118558657433,4425.808131895879,1.1053193427570633,4891.93133551602
2017,4891.93133551602,1.0232522705522873,5005.67984645265,1.0639419870846882,5325.75296254461
2018,5325.75296254461,1.0691732221898087,5694.15245555074,0.9951342256582625,5666.44599463458
2019,5666.44599463458,1.054581507088673,5975.72915685831,1.1238869832851217,6716.04421503043
2020,6716.04421503043,1.0206278334496406,6854.5816565385,1.0195955674470498,6988.90107371051
2021,6988.90107371051,1.0764284678699052,7523.052074868539,1.21897888694711,9170.441644668399
,,,,,
,,,,,
Valor Adicionado Bruto 2010-2021,,,,,
Região Norte,,,,,
"Atividades profissionais, científicas e técnicas, administrativas e serviços complementares",,,,,
ANO,VALOR DO ANO ANTERIOR,ÍNDICE DE VOLUME ,VALOR A PREÇOS DO ANO ANTERIOR,ÍNDICE DE PREÇO       ,VALOR A PREÇO CORRENTE
2010,,,,,6366.86820228973
2011,6366.86820228973,1.0816601189639943,6886.787417116781,1.1207028797862737,7718.042490838649
2012,7718.042490838649,1.0838039078543642,8364.84461255696,1.0535497090399297,8812.77960772361
2013,8812.77960772361,1.0253323925136788,9036.02839988301,1.1019002834072438,9956.80225470699
2014,9956.80225470699,1.0110283599607413,10066.60945402982,1.1924079753805292,12003.505398026191
2015,12003.505398026191,0.9583667330012517,11503.760252869251,0.9575272750778003,11015.164208078202
2016,11015.164208078202,1.0086841074325907,11110.82107744878,1.005688582931755,11174.02590458774
2017,11174.02590458774,1.032982793563032,11542.57649426673,1.0737638282776216,12394.001124671131
2018,12394.001124671131,1.0648101192995014,13197.257816159221,1.006777941479078,13286.708057321453
2019,13286.708057321453,1.0498557721601476,13949.127146985667,1.048904120494696,14631.296941777691
2020,14631.296941777691,1.0190364697593266,14909.82518354957,0.984078300440024,14672.435426485328
2021,14672.435426485328,1.0790412563185428,15832.163155847422,1.0814528836674835,17121.73849958528
"Fonte: IBGE, em parceria com os Órgãos Estaduais de Estatística, Secretarias Estaduais de Governo e Superintendência da Zona Franca de Manaus - SUFRAMA.",,,,,
