Tabela 11 - Matriz dos coeficientes técnicos dos insumos nacionais - Matriz Bn - 2015,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66,Unnamed: 67,Unnamed: 68
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Código
do
produto
nível 67","Descrição do produto
nível 67",Coeficientes técnicos dos insumos nacionais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,"0191
Agricultura, inclusive o apoio à agricultura e a pós-colheita","0192
Pecuária, inclusive o apoio à pecuária","0280
Produção florestal; pesca e aquicultura","0580
Extração de carvão mineral e de minerais não metálicos","0680
Extração de petróleo e gás, inclusive as atividades de apoio","0791
Extração de minério de ferro, inclusive beneficiamentos e a aglomeração","0792
Extração de minerais metálicos não ferrosos, inclusive beneficiamentos","1091
Abate e produtos de carne, inclusive os produtos do laticínio e da pesca","1092
Fabricação e refino de açúcar","1093
Outros produtos alimentares","1100
Fabricação de bebidas","1200
Fabricação de produtos do fumo","1300
Fabricação de produtos têxteis","1400
Confecção de artefatos do vestuário e acessórios","1500
Fabricação de calçados e de artefatos de couro","1600
Fabricação de produtos da madeira","1700
Fabricação de celulose, papel e produtos de papel","1800
Impressão e reprodução de gravações","1991
Refino de petróleo e coquerias","1992
Fabricação de biocombustíveis","2091
Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros","2092
Fabricação de defensivos, desinfestantes, tintas e químicos diversos","2093
Fabricação de produtos de limpeza, cosméticos/perfumaria e higiene pessoal","2100
Fabricação de produtos farmoquímicos e farmacêuticos","2200
Fabricação de produtos de borracha e de material plástico","2300
Fabricação de produtos de minerais não metálicos","2491
Produção de ferro gusa/ferroligas, siderurgia e tubos de aço sem costura","2492
Metalurgia de metais não ferosos e a fundição de metais","2500
Fabricação de produtos de metal, exceto máquinas e equipamentos","2600
Fabricação de equipamentos de informática, produtos eletrônicos e ópticos","2700
Fabricação de máquinas e equipamentos elétricos","2800
Fabricação de máquinas e equipamentos mecânicos","2991
Fabricação de automóveis, caminhões e ônibus, exceto peças","2992
Fabricação de peças e acessórios para veículos automotores","3000
Fabricação de outros equipamentos de transporte, exceto veículos automotores","3180
Fabricação de móveis e de produtos de indústrias diversas","3300
Manutenção, reparação e instalação de máquinas e equipamentos","3500
Energia elétrica, gás natural e outras utilidades","3680
Água, esgoto e gestão de resíduos","4180
Construção","4580
Comércio por atacado e varejo","4900
Transporte terrestre","5000
Transporte aquaviário","5100
Transporte aéreo","5280
Armazenamento, atividades auxiliares dos transportes e correio","5500
Alojamento","5600
Alimentação","5800
Edição e edição integrada à impressão","5980
Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem","6100
Telecomunicações","6280
Desenvolvimento de sistemas e outros serviços de informação","6480
Intermediação financeira, seguros e previdência complementar","6800
Atividades imobiliárias","6980
Atividades jurídicas, contábeis, consultoria e sedes de empresas ","7180
Serviços de arquitetura, engenharia, testes/análises técnicas e P & D","7380
Outras atividades profissionais, científicas e técnicas","7700
Aluguéis não imobiliários e gestão de ativos de propriedade intelectual","7880
Outras atividades administrativas e serviços complementares","8000
Atividades de vigilância, segurança e investigação","8400
Administração pública, defesa e seguridade social","8591
Educação pública","8592
Educação privada","8691
Saúde pública","8692
Saúde privada","9080
Atividades artísticas, criativas e de espetáculos","9480
Organizações associativas e outros serviços pessoais","9700
Serviços domésticos"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01911,"Arroz, trigo e outros cereais",0.0005366940294405772,0.0011969230320103927,0,0,0,0,0,4.702231208708532e-05,0,0.03232264994392405,0.0013212286117942546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00014989602666514045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.948111503293405e-05,0,0,0,0,0,0,0
01912,Milho em grão,0.001829932654598595,0.01688829204921981,0.0002776835025145784,0,0,0,0,0.0016928032351350717,0,0.028760642582968707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00030251743563328344,0,0,0,0,0,0.00042072095458899143,0,0,0,0,0,0,0,0,0,0,0,0,0.00020288485589616743,3.2358899020819714e-06,0,0,4.490728890206169e-06,0,0,0
01913,"Algodão herbáceo, outras fibras da lavoura temporária",0.0008406051063527115,0.0001678611569282868,0,0,0,0,0,0,0,0.0018362898257696621,0,0,0.05981046737023476,0,0,0,0,0,0,0.0011204220256296538,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00013536065438246017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01914,Cana-de-açúcar,0.001988354386180452,0.0010801500532776715,0.0001234148900064793,0,0,0,0,0,0.5241542878542005,0,0.02030244361885825,0,0,0,0,0,0,0,0,0.38330104339301135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003714876513924073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01915,Soja  em grão,0.006026491993236362,0.0011312382314732372,0,0,0,0,0,0.0016967217611423286,0,0.10807256701470612,0,0,0,0,0,0,0,0,0,0.03153521159636796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.007655598889134173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01916,Outros produtos e serviços da lavoura temporária,0.010032298634663322,0.005320468843509612,0.0018512233500971892,0,0,0,0,0.00012539283223222752,0,0.014105865070213405,0,0.38915407053831874,0,0,0,0,0,0,0,0.007422795919796456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005251014400509189,9.489046477349647e-06,0.0004378780900157436,0,0,0,0,0.008837015423092955,0.00762221048579843,0,0,0,0,0,0,2.1291545127429897e-05,0,0,0,0.0005853284076188649,0,0.0005336149634529335,0.0010646077777849686,0.0004422901603978806,0.0008651726158912673,0.0008262941157979351,2.887586266639716e-05,0.0014561439659317261,0
01917,Laranja,1.9398579377370264e-05,3.649155585397539e-05,9.256116750485947e-05,0,0,0,0,0,0,0.01602508411392105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0022926219258024177,0.0008056358704895581,0,0,0,0,0,0,0,0,0,0,0,0,6.948111503293405e-06,1.2943559608327886e-05,0,1.116351762440345e-05,0,0,2.0605810838656502e-05,0
01918,Café em grão,6.466193125790088e-05,0.0006130581383467866,3.085372250161982e-05,0,0,0,0,0,0,0.015570947920451135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.8231042854723054e-05,0,0,0,0,1.2506600705928129e-05,0,0,0,0,0,3.4343018064427503e-05,0
01919,Outros produtos da lavoura permanente,0.00018428650408501752,9.487804522033602e-05,3.085372250161982e-05,0,0,0,0,3.91852600725711e-06,0,0.007416241489882636,0.00019622207105855267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.721916525173902e-05,0,0,0,0,0.0007503126302626094,0.0015217566442580542,0,0,0,0,0,0,0,2.8231042854723054e-05,0,0,0,0,0.00011394902865401184,0.00022327640324365603,1.805265960807676e-05,0.00014512572911724484,8.083312002371105e-05,0,1.3737207225771001e-05,0
01921,"Bovinos e outros animais vivos, produtos animal, caça e serviços",0.0011574485695164257,0.011567823205710199,0.0002776835025145784,0,0,0,0,0.21043660216772858,0,0.0001342663528519753,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.299417064122947e-05,0,0,0,0.00010978016175203579,0.00015532271529993463,2.707898941211514e-05,0,0.00043560070234999844,0,0,0
01922,Leite de vaca e de outros animais,0.0001616548281447522,0.007495365572406545,0.001018172842553454,0,0,0,0,0.05433428161662709,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00026854529016318604,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4948828903084005e-05,0
01923,Suínos,0.00011315837970132654,0.0013574858777678845,6.170744500323964e-05,0,0,0,0,0.031861534965007564,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
01924,Aves e ovos,0.0002521815319058134,0.012239267833423346,3.085372250161982e-05,0,0,0,0,0.04567825766659613,0,0.00614071113778887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.359225373672625e-06,0,0,0,0,0.011629845769070446,0.00499494239703526,0,0,0,0,0,0,0,0,0,0,0,0,5.558489202634724e-05,0.00012943559608327886,6.318430862826866e-05,0.00012279869386843794,5.388874668247403e-05,0,0,0
02801,Produtos da exploração florestal e da silvicultura,0.0028968545203539595,0.0078602811309463,0.04285582055474993,0.00010135306339634116,0,0,0,0.001242172744300504,0,0.000837190200135846,1.3081471403903511e-05,0.00026518164942985947,0.0008399741546413957,0.00016312681478581448,0.00034798170610459333,0.1025650669474951,0.04581948541767803,0,0,2.334212553395112e-05,0.0011131495949372307,0,0,0,0.008767334512854474,0.0009489890475499335,0.007520277187180093,0,9.860960457548565e-05,0,0,0,0,0,0,2.840989800846615e-05,0,0,0,0.0010864958216565345,0.00021803058424020428,0,0,0,0,0,0,0,0,0,0,0,0,0,4.234656428208458e-05,0,0,0,0,1.528584530724549e-05,1.6179449510409857e-05,0,0,0,0,0,0
02802,"Pesca e aquicultura (peixe, crustáceos e moluscos)",6.142883469500583e-05,0.0001313696010743114,0.010459411928049119,0,0,0,0,0.004267274821902993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0015839933305543976,0.0014904263604056825,0,0,0,0,0,0,0,0,0,0,0,0,6.948111503293405e-05,0.0001941533941249183,3.610531921615352e-05,0.00016187100555385,5.83794755726802e-05,0,0,0
05801,Carvão mineral,0,0,0,0,0,0,6.210022977085015e-05,3.91852600725711e-06,0,3.949010377999273e-06,0,0,0,0,0,0,0,0,1.3392295144757318e-05,0,6.184164416317948e-05,0,0,0,0,1.1164577029999219e-05,0.00938065989447988,0.0010146600888702286,0,0,0,0,0,8.511000468105026e-05,0,0,0,0.001131338853244258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4115521427361527e-05,0,0,0,0,0,0,0,0,0,0,0,0
05802,Minerais não metálicos,0.00014872244189317201,0.0025981987768030476,0.000339390947517818,0.016419196270207267,0.0031049399944180853,0,0,0.0001959263003628555,0.0002080472683393667,0.001038589729413809,0,0,0,0,0,0,4.979025853591745e-05,0,0,0.005322004621740856,0.010341297162842792,0.001127758981794748,0,0,0,0.06086927396755574,0.003691235530356721,0.004775900073475386,1.0956622730609517e-05,0,0.0005555709880830023,0,0,0.000340440018724201,0,0.0004687633171396915,0,0,0.005648818521759885,0.009835396673772909,6.359225373672625e-05,0,0,0,4.342388661154728e-05,0,0,0,0,0,0,0,0.0005824933278869597,0,0,0,0,0,0,7.503960423556878e-05,5.501012833539352e-05,0,1.6745276436605174e-05,4.490728890206169e-06,0,0,0
06801,"Petróleo, gás natural e serviços de apoio",0,0,0,5.067653169817058e-05,0.07023327751418737,0.0008719883229389798,0.0008694032167919022,9.404462417417064e-05,0,0.0009477624907198257,0.0006279106273873685,0,0.0009261253499892311,0,0,0.0004889423800210622,0.0027260166548414805,0,0.24974219831846342,0,0.00388228099468849,0.0003490682562698029,0.00022235948116121064,0.00020699648105982198,0.0002668748949797867,0.002110105058669852,0.0010532325379951177,0.001679437388474861,0.0012819248594813134,0,9.72249229145254e-05,4.144631044944379e-05,0.00015705447741829753,0.0006241400343277018,0,0,0,0.015942290213343664,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000804584721359607,0,0,0,0,0,0,0,0,0,0,0,0
07911,Minério de ferro,0,0,0,0,0,0.01017951585691809,0.0009936036763336024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0008485078542799406,0.06912945901252067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.234656428208458e-05,0,0,0,0,0,0,0,0,0,0,0,0
07921,Minerais metálicos não ferrosos,0,0,0,0,0.0002907247185784724,0.00013269387522984476,0.0428491585418866,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00041308935010997107,0.01682219072367903,0.07483992862391099,0,0,0,0,0,0.00014185000780175044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.4115521427361527e-05,0,0,0,0,0,0,0,0,0,0,0,0
