Idx_0based;Setor;PO;Renda_Anual_Mi;VBP_Mi;Coef_Emprego;Coef_Renda
0;Agricultura;0,0;0,0;3359,826566819342;0,0;0,0
1;Pecuaria;0,0;0,0;3044,335306949744;0,0;0,0
2;Florestal/Pesca;0,0;0,0;950,2504768532323;0,0;0,0
3;Carvao/Min.NMetalicos;0,0;0,0;14612,34551183658;0,0;0,0
4;Petroleo e Gas;0,0;0,0;68990,8243198386;0,0;0,0
5;Minerio de Ferro;0,0;0,0;167509,743066719;0,0;0,0
6;Min.Metalicos NFerrosos;0,0;0,0;114861,089476664;0,0;0,0
7;Carne/Laticinio;18970,80755610872;608,5368368694429;32955,11612311785;0,5756559159201625;18465,625628384827
8;Acucar;2887,5115007321892;92,6242654606387;5016,03722097882;0,5756559159201625;18465,625628384827
9;Outros Alimentares;16291,192510159095;522,5813782382223;28300,22598502838;0,5756559159201625;18465,625628384827
10;Bebidas;52070,005280540005;1395,944730478912;12355,98242563987;4,214153394430998;112977,23502602192
11;Fumo;32898,17958995;653,9046656483911;4943,948978086359;6,654231209862488;132263,6355162177
12;Texteis;13802,85206081;203,70162261873028;4568,365098319183;3,021398632497306;44589,61099533775
13;Vestuario;119877,33965032;2400,425135321421;6787,40492212263;17,66173390651794;353658,7492367752
14;Calcados/Couro;3825,1343662500003;67,3450456350203;3413,880976745311;1,1204650637518025;19726,828818509366
15;Madeira;13436,09634293;216,17598875733492;1749,921562765768;7,67811348166607;123534,67341454247
16;Celulose/Papel;5222,315031040001;67,10154094381095;4687,617436906315;1,1140659623637228;14314,636773792685
17;Impressao;20361,38082735;1094,8307058212288;2220,699928246776;9,168902366482778;493011,5464476952
18;Refino Petroleo;5591,84304503;258,4592509310895;49738,21764833316;0,11242548103686212;5196,391490312099
19;Biocombustiveis;0,0;0,0;13534,19411693389;0,0;0,0
20;Quimicos Org/Inorg;21928,502408610002;1187,1299531592351;4465,667037922922;4,910465160611128;265834,8558184031
21;Defensivos/Tintas;0,0;0,0;28786,16747025692;0,0;0,0
22;Limpeza/Cosmeticos;0,0;0,0;10233,00188822165;0,0;0,0
23;Farmoquimicos;20563,55361519;1375,1978011503695;7188,24815251016;2,860718380737752;191311,95417483547
24;Borracha/Plastico;18200,90902885;536,4991565551481;7219,453636388896;2,5210923077489182;74312,98593718791
25;Min.NMetalicos;27555,06652742;529,4827123410757;3271,453547358643;8,422881795056464;161849,37510990418
26;Siderurgia;39400,74248135;1336,4556849671492;9220,759474448889;4,2730474198498625;144939,87058989273
27;Met.NFerrosos;0,0;0,0;6491,180056175468;0,0;0,0
28;Prod.Metal;48080,77145226;1393,447474610013;3019,214329501255;15,924928211440516;461526,51734406577
29;Informatica/Eletron;1066,78564086;29,930440818809302;6221,236331895369;0,17147486190015737;4811,011706043107
30;Maq.Eletricas;3131,67507316;169,29610637124568;5185,114588290023;0,6039741301441097;32650,407910672064
31;Maq.Mecanicas;7959,49098756;737,5039915674532;1609,782380222502;4,944451551556831;458138,9389201268
32;Automoveis;22048,25318161;727,484456761628;14456,1510376313;1,5251814348242103;50323,523520741335
33;Pecas Veiculos;0,0;0,0;4959,720655887812;0,0;0,0
34;Outros Eq.Transporte;35095,195483640004;2396,223002133741;12231,95700265946;2,869139866663171;195898,57956602992
35;Moveis/Diversos;53805,38560398;1349,6118335839074;8977,763199155981;5,993183871127093;150328,2948820467
36;Manut.Maquinas;86491,12148573001;2371,315321505718;1574,093492871041;54,94662285146482;1506464,0901224983
37;Eletricidade/Gas;48017,4863426;4090,408906830547;16977,04803727644;2,8283766551857656;240937,58219033436
38;Agua/Esgoto/Residuos;44473,26284595;1810,0961793083118;18485,63839380588;2,405827805268115;97919,05157653816
39;Construcao;572448,63035598;15391,356383166316;38971,25272144176;14,688997411700397;394941,27872102195
40;Comercio;1366358,82280305;36845,58193130624;102050,7322130899;13,389015376685256;361051,61748736684
41;Transp.Terrestre;379833,76975805;11543,894998066686;21667,15065530308;17,53039778052611;532783,2524781607
42;Transp.Aquaviario;18600,54033529;1318,018228581224;12606,25682027443;1,4755006660958283;104552,70326251625
43;Transp.Aereo;8063,73907315;599,7633417391238;14207,7591344033;0,5675588245034435;42213,78868162469
44;Armaz./Correio;98768,78524567;3554,4958286450355;25142,00710382695;3,9284367726805742;141376,77290306683
45;Alojamento;44561,7334743;1586,6236796694752;14593,32650742652;3,0535692771365466;108722,55060297904
46;Alimentacao;510538,00446583;10305,89451223913;8602,073559910865;59,35057412728289;1198070,9581778932
47;Edicao;13386,32140984;708,3549995895179;16902,65885794095;0,7919654252236796;41907,9036939049
48;TV/Radio/Cinema/Som;113613,67019763001;10048,649359439281;1709,111997216068;66,47526340151647;5879456,335106937
49;Telecomunicacoes;47263,53749271;2265,297383329223;3800,949829391827;12,43466491644601;595981,9216271222
50;TI/Sistemas;101900,04632149;7089,065133554747;17314,66550106655;5,885187115813075;409425,4742095985
51;Financeiro/Seguros;158391,05363187002;10822,111241016499;50912,82645077725;3,111024562445049;212561,58802103365
52;Imobiliario;55231,56224201;2276,6605085649926;78317,68526653148;0,7052246507802858;29069,558182382945
53;Juridico/Contabil;242072,64360414;14172,05653454661;10274,11824368168;23,56140331098569;1379393,948795758
54;Arquitetura/Eng/P&D;82434,48518522001;6965,711270633679;12743,50201173735;6,468746590167606;546608,8728371479
55;Outras Prof/Cientif;92966,29338308;3934,855879632689;23488,86509103408;3,9578878342047314;167520,05107026905
56;Alugueis/Prop.Intelectual;10994,35915112;258,3377374519606;11338,95063455544;0,9696099317704675;22783,21387736504
57;Admin/Servicos Compl;300191,55718685;8318,103997018086;9387,689755779387;31,977149330274965;886065,0717496467
58;Vigilancia;77948,02480781;2430,627156797024;6942,379084093747;11,227854869867752;350114,43877589924
59;Admin.Publica;492071,92164498003;35237,64515865315;26254,01799157943;18,742728134139487;1342181,0394871777
60;Educ.Publica;385469,827765169;21110,54424663243;107687,3437758162;3,5795276793867354;196035,51825533385
61;Educ.Privada;165201,354756501;7036,8480822108095;32749,80800698536;5,044345747653374;214866,84992809384
62;Saude.Publica;259295,56140237302;18624,335544400885;43628,29973134337;5,943288255537731;426886,577269497
63;Saude.Privada;316916,79726956703;15238,092718146178;44037,80481506733;7,196471272817292;346022,9859807303
64;Artes/Espetaculos;100378,13678965;6616,233141121216;8075,111817946874;12,430556883009393;819336,4117158958
65;Assoc./Serv.Pessoais;338490,07687719003;8582,667857197106;19243,52574244;17,589815993577425;446002,87764672685
66;Domesticos;492280,10631609;6920,909117670165;6045,9957100867;81,4225034091251;1144709,5647328733
